channel_title,Total Views,Total Trending videos,Like to Dislike Ratio
ChrisBrownVEVO,9361727,7,40
FC Barcelona,9270318,29,42
Zebra Corner,9268406,6,32
wdwmagic,9265854,10,1
Inanna Sarkis,9252139,7,24
Karina Garcia,9219130,6,38
Cards Against Humanity,9186934,8,2
Amber Scholl,9165810,25,28
TheReportOfTheWeek,9124684,16,11
Alissa Ashley,9094406,26,69
Simone Giertz,9089748,25,20
Battle Universe!,9051461,11,12
Veritasium,9051086,14,88
Australian Open TV,9035474,17,26
Let Me Explain Studios,9030647,6,42
Munchies,8999805,20,40
Fox News,8989940,29,3
Watch What Happens Live with Andy Cohen,8954852,66,1
Sprinkleofglitter,8952248,16,78
NoahCyrusVEVO,8938720,9,34
Orion Pictures,8933850,7,7
Duston Ward,8898135,8,19
TromaMovies,8823516,8,8
Green Day,8817596,11,46
Ranz Kyle,8676032,16,126
Rella On the radio,8629097,5,33
Jason Derulo,8524177,4,21
SeanPaulVEVO,8502127,6,65
thegameawards,8454016,6,17
Amazon Studios,8395216,17,6
KBSKpop,8346693,8,38
MasterClass,8291604,4,108
Zendaya,8234661,7,88
The 2x Family,8200751,6,48
David Guetta,8199225,6,27
KathleenLights,8171877,18,71
Disney Descendants,8158025,6,8
Manny Mua,8104400,6,41
Jonathan Morrison,8103086,20,13
KBAK - KBFX - Eyewitness News - BakersfieldNow,8080063,8,28
NASA Jet Propulsion Laboratory,8056076,8,24
Revolt TV,8055481,8,15
The Action Lab,8054309,5,6
RealLifeLore,7989911,18,25
Lip Sync Battle,7862787,34,19
HOT 97,7850299,6,115
ABC Action News,7848153,9,7
Alesso,7786569,7,17
The Weather Channel,7784540,9,34
theCHIVE,7706805,8,14
AnselElgortVEVO,7590243,6,81
Guy Tang,7508430,7,22
Ellie and Jared,7457580,13,29
Tyler Oakley,7446840,36,51
Clevver Style,7445122,14,14
How To Cook That,7427326,30,39
Brian Hull,7407313,24,27
Ã£Æ’Â¯Ã£Æ’Â¼Ã£Æ’Å Ã£Æ’Â¼ Ã£Æ’â€“Ã£Æ’Â©Ã£â€šÂ¶Ã£Æ’Â¼Ã£â€šÂ¹ Ã¥â€¦Â¬Ã¥Â¼ÂÃ£Æ’ÂÃ£Æ’Â£Ã£Æ’Â³Ã£Æ’ÂÃ£Æ’Â«,7389323,6,25
KBS World TV,7361683,3,101
euronews (in English),7353875,25,7
Big Marvel,7323283,15,82
ASMR Darling,7316390,7,15
C-SPAN,7308845,28,3
Daniel Howell,7298244,4,234
Dorkly,7276493,6,27
The School of Life,7242558,32,25
Leroy Sanchez,7219025,12,179
BÃƒËœRNSmusicVEVO,7190304,14,55
Kaplamino,7173978,9,156
Freddie Lister,7151971,7,8
NickJonasVEVO,7069856,25,64
Recording Academy / GRAMMYs,7054634,7,4
JasonAldeanVEVO,7044089,7,28
E! Live from the Red Carpet,7042359,13,12
Candide Thovex,6997284,6,99
dope2111,6915252,4,18
ThirtySecondsToMarsVEVO,6900112,8,24
NBC Sports,6839205,24,9
The Bella Twins,6826745,16,45
RM Videos,6824468,43,11
MN khan,6802599,5,5
Jenny Nicholson,6761567,42,11
RAP DAILY,6732940,7,4
PsychoSoprano,6722392,11,54
Patricia Bright,6707897,10,39
Carla Resendiz,6692044,8,23
carrieunderwoodVEVO,6677347,6,17
NiallHoranVEVO,6658698,10,161
FailArmy,6610961,3,8
hp_overload,6599794,7,7
HowToBasic,6599715,3,8
BRIGHT SIDE,6582622,5,9
Howl Of A Dog,6549569,5,81
BBC Earth,6482422,40,20
Nick Ramos,6436629,5,0
JOLLY,6411264,22,46
SB-LII Commercials,6377720,9,11
Australia,6365560,9,20
JackWhiteVEVO,6361229,12,10
ELLE,6332596,11,82
Wendy Williams,6306370,22,4
The Real Daytime,6266151,25,14
NBA on TNT,6262486,7,15
Avocado,6245242,2,22
Cole and Marmalade,6205719,16,52
Chloe x Halle,6178272,17,18
Simon and Martina,6173193,24,40
SUPERFRUIT,6137973,15,49
matt,6110345,8,16
KaneBrownVEVO,6086269,15,25
"But First, Coffee",6073847,3,70
Refinery29,6068962,91,9
Lisa Eldridge,6054114,19,90
TheBackyardScientist,6037569,7,10
UrAvgConsumer,6017708,8,16
MiguelVEVO,6006029,11,93
ViralHog,5979781,36,20
Ã¬ËœÂÃªÂµÂ­Ã«â€šÂ¨Ã¬Å¾Â Korean Englishman,5963784,6,57
RedCurtainEnt,5961158,3,10
Patrick Nan,5960191,5,139
The Telegraph,5940518,8,2
Klossy,5933371,17,95
DisneyMusicVEVO,5916587,7,39
sWooZie,5913141,5,28
Zero Media,5869635,3,17
Bethany Mota,5849270,5,62
iHasCupquake,5823433,7,53
Strictly Dumpling,5809054,8,22
The Pet Collective,5730942,9,24
ChrisStapletonVEVO,5720718,20,23
Guava Juice,5706756,6,7
Fifty Shades,5697328,3,5
Wong Fu Productions,5643111,20,59
ConnorFranta,5614775,32,99
Rclbeauty101,5599488,8,31
MoreZoella,5596985,6,99
ÃÂÃÂ»ÃÂµÃÂºÃ‘ÂÃÂµÃÂ¹ ÃÂÃÂ°ÃÂ²ÃÂ°ÃÂ»Ã‘Å’ÃÂ½Ã‘â€¹ÃÂ¹,5579079,1,5
KylieMinogueOnVEVO,5572363,6,25
Jesse,5529291,8,50
ThreeDaysGraceVEVO,5527420,7,44
ABC7,5506919,7,18
ALL URBAN CENTRAL,5491645,8,14
BachelorsPadTv,5489920,6,33
Tia Mowry's Quick Fix,5489420,6,34
Mashed,5488331,7,11
Paramount Network,5482985,8,0
JamesAVEVO,5465397,5,154
Noah Nicholls,5444065,4,30
Maddie Ziegler,5432939,11,96
Food Wishes,5405852,24,32
Anna Akana,5389630,27,69
CNNMoney,5385040,14,18
Michelle Khare,5303023,33,8
Roy Moore for Senate,5247547,8,0
GamingWithJen,5204680,7,15
SugarlandVEVO,5198965,12,12
Kandee Johnson,5197937,20,11
WOWPresents,5152253,21,15
MariahCareyVEVO,5149796,12,16
ET Canada,5124037,6,3
StingVEVO,5102092,8,29
DanTDM,5093448,3,102
EltonJohnVEVO,5050726,6,6
Fleur DeForce,5050456,18,49
grandayy,5050182,6,30
JamesBayVEVO,5049890,12,25
How To Make Everything,5041776,17,32
Quicken Loans,5021256,9,17
Sprint,4983540,5,1
Anna Saccone,4962538,5,44
mmschocolate,4856227,15,28
Cat Man Chris,4812051,12,10
MyLifeAsEva,4809601,7,28
Jeopardy!,4801836,7,42
MSNBC,4780540,37,3
Comedy Central,4753081,7,28
Warner Bros. UK,4750222,7,4
BenTheBondsman,4722506,8,12
kehlani parrish,4721197,9,82
dodieVEVO,4684398,12,112
KeithUrbanVEVO,4671903,14,16
Olympic,4670431,10,5
I Like To Make Stuff,4634436,4,50
AntsCanada,4622106,6,23
Hydraulic Press Channel,4600322,13,21
CNBC,4586065,28,3
EA SPORTS FIFA,4566662,6,22
MITCHELL WIGGS,4549074,3,77
WXYZ-TV Detroit | Channel 7,4545273,7,9
Andrew Lowe,4520045,7,4
Vance Joy,4505738,13,108
CBS New York,4489513,13,18
FX Networks,4453454,22,25
Scotty Sire,4439770,6,288
MGMTVEVO,4413729,7,38
TurboTax,4370697,11,45
Monster Cable Products,4355010,9,2
Mashable Daily,4292643,6,7
Freedom of the Press Foundation,4278714,12,11
Huxley Berg Studios,4262244,9,24
Good Morning America,4252433,23,39
Netflix Asia,4228105,7,22
Waterjet Channel,4222139,10,21
VICE,4209236,10,29
Demi Lovato,4197884,7,51
Studio C,4195782,8,29
Cam'ron,4193017,5,3
Tpindell,4182989,8,21
LukeCombsVEVO,4167194,12,31
Comicbook.com,4166744,12,12
UFC - Ultimate Fighting Championship,4164529,7,18
People are Awesome,4151749,9,81
Sailor J,4147944,30,36
Casey Holmes,4099561,16,47
VICE News,4088723,23,4
Mikey Murphy,4047328,6,189
amc,4046703,12,5
DanAndPhilGAMES,4033755,6,319
R3HAB,4019979,9,85
BreakingBenjaminVEVO,4019099,5,47
clothesencounters,4009016,16,42
BjÃƒÂ¶rk,4003900,23,26
ElectroBOOM,3981785,13,78
jennxpenn,3956094,12,51
NZPoliceRecruitment,3921025,6,29
ColliderVideos,3905050,53,12
Miss Universe,3889363,6,10
Shawn Johnson East,3866858,10,9
Summoning Salt,3854531,6,38
The Hollywood Reporter,3841860,35,7
PatrickStarrr,3754706,8,41
Teen Vogue,3746552,24,102
Toyota Global,3730960,7,18
MyHarto,3728970,16,7
BuzzFeed Nifty,3672371,24,7
Hamilton: An American Musical,3672322,7,46
TV Promos,3665480,20,28
Thomas Sanders,3662971,17,51
Diet Coke,3660760,8,0
RackaRacka,3650323,3,98
Nikita Dragun,3629441,8,62
Motherboard,3594802,8,36
Swish Daily,3574548,3,8
TopClips247,3562683,4,34
Peter McKinnon,3541124,8,65
Daily Caller,3527339,3,0
NowThis World,3513639,5,6
CBC News,3508302,10,10
Nile Wilson,3508054,11,30
TMZSports,3505996,1,1
PONY Syndrome,3473591,7,42
EverythingApplePro,3456350,5,30
CBS Sunday Morning,3450547,12,19
Rebel Wilson,3426561,9,14
The Key of Awesome,3418838,9,28
Yoga With Adriene,3397020,7,68
Jack Coyne,3387722,11,34
Genius,3357035,15,19
Portugal. The Man,3356296,18,22
Dave Lee,3343806,10,21
Daisy Marquez,3331483,6,11
FOX Sports,3328895,21,3
Markiplier,3296098,5,80
heyitsfeiii,3295686,5,72
BBC Music,3293506,3,26
Esther Bellido,3292899,5,35
JÃƒÂ¡n IlavskÃƒÂ½,3281173,4,66
Laura Lee,3244244,6,40
West Midlands Police,3236524,5,3
foofightersVEVO,3225798,8,53
KFC,3225221,7,0
Verizon,3222759,7,13
Third Leg Studios,3217651,13,11
Christen Dominique,3208887,7,99
Piece Of Me Tour Planet Hollywood,3206710,8,1
Christine Sydelko,3204278,6,107
CBS Los Angeles,3194316,43,6
Awkward Puppets,3193367,6,62
Inside the Magic,3189718,9,0
The Talk,3181976,26,2
PrettyMuchVEVO,3177869,14,174
New Orleans Saints on NOLA.com,3175208,9,9
BMW USA,3174474,3,34
XAmbassadorsVEVO,3171577,13,63
The Orchard Movies,3136894,10,21
Buttered Side Down,3132338,19,24
Michael Dapaah,3128136,9,107
Berd,3123806,14,62
Sugar Pine 7,3123696,14,47
OneBitMusicVEVO,3110803,3,22
Corridor,3098057,5,17
ELLEUKTV,3091426,7,10
Corinne Leigh,3083103,7,137
Lucas,3079154,12,3
Muselk,3056994,6,29
LD Entertainment,3044534,6,8
PB Comps,3038266,6,22
Dj Earworm,3034381,7,8
Grandpa Kitchen,3023782,7,46
The Oregonian,3023652,9,2
CNET,3021717,24,19
DamonAndJo,3015367,37,40
Super Netvid,3014847,1,15
HouzzTV,3003540,7,42
It's Okay To Be Smart,3000905,10,84
Radovan Lazic,2956469,2,2
Lofty Pursuits,2953345,5,46
Laura in the Kitchen,2945684,26,35
Yes Theory,2920522,8,70
KKandbabyJ,2915320,9,96
Cody'sLab,2892443,8,41
Architectural Digest,2892284,5,11
PLAYERUNKNOWN'S BATTLEGROUNDS,2892032,6,23
Avocados From Mexico,2867651,4,18
Persil ProClean,2858154,7,1
Brad Mondo,2854513,10,30
ChangeofplanZ,2826033,6,10
blackbearVEVO,2822309,4,149
Funny Commercials,2821311,3,31
standupmaths,2798640,16,34
grav3yardgirl,2798217,11,22
Chris Turner,2791032,7,39
ANDREW HUANG,2790190,21,105
United Launch Alliance,2776246,13,6
TheScriptVEVO,2774676,11,105
alt-J,2769646,7,23
LecraeVEVO,2695370,13,24
FightHype.com,2680141,18,4
AT&T,2673056,5,171
Eva Lunde Bentley,2671536,8,58
Numberphile,2669307,12,132
Wassabi Productions,2661437,6,52
Banana Culture Music,2661336,2,132
Vlogs By DK4L,2652236,6,29
tonyvera1902,2633276,6,17
H&M,2623070,8,11
Jason Yu,2615721,6,25
Man About Cake,2611893,16,87
Funny New Videos,2594748,4,26
Lame Videos,2583029,3,9
Nerdist,2581366,12,24
Shoshana Bean,2575740,7,35
Coca-Cola,2559038,4,1
CaptainDisillusion,2554074,9,133
Squarespace,2543558,4,26
BellatorMMA,2517679,2,6
CamVEVO,2507442,9,10
Gigi Gorgeous,2505629,7,1
jenniferhudsonVEVO,2461736,7,30
PetaPixel,2457408,1,13
USA TODAY,2454681,36,2
New York Daily News,2430114,8,3
John Campea,2411621,43,8
ScreenJunkies News,2409936,38,11
PointlessBlogVlogs,2406749,5,37
T-Mobile,2388857,8,3
BeckVEVO,2386317,7,18
Epicurious,2386207,2,19
BrantleyGilbertVEVO,2363589,7,34
Sufficiently Advanced,2348034,8,4
Chili Klaus,2343247,3,16
doddlevloggle,2336975,6,88
Nicol Concilio,2336425,7,23
DonDiablo,2329716,5,71
Pero Like,2329316,6,32
Dancing With The Stars,2325706,13,44
Dawid Szmandra,2324333,8,41
Victoria's Secret,2316654,7,35
LIVEKellyandRyan,2316479,18,19
Rachel and Jun,2284670,2,33
Janelle MonÃƒÂ¡e,2283498,6,8
GreatScott!,2270837,11,39
Spotify,2261008,9,21
CupcakeJemma,2254012,23,89
ColdFusion,2249459,8,85
Bkav Corp,2247876,2,2
Max Fagin,2242004,7,10
J.J. McCullough,2238989,12,3
WhatCulture Wrestling,2226514,6,5
The Valleyfolk,2219026,8,101
AaronsAnimals,2207374,12,49
Business Insider,2195754,33,10
Dr. Sandra Lee (aka Dr. Pimple Popper),2176096,12,13
Tina Yong,2171817,7,72
Nickelback,2163388,7,20
Beats by Dre,2152261,1,49
Why Don't We,2134458,3,200
CrowsEyeProductions,2122761,5,21
Blue Origin,2118215,8,31
Davie504,2103375,7,67
